B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,LocationX
,-91,,-86,-84,-90,,-89,-97,-82,-88,,-92,,-90,-92,,-94,,0
,-80,,-74,-91,-73,,-82,-85,-81,-80,,-83,,-79,,,-85,-80,1
-78,,-79,-82,-85,-78,-83,-82,-79,-84,,,-92,-94,-92,-81,-83,,,3
,-76,-87,-82,-88,,-88,,,,-87,-88,-92,-89,-77,-78,-78,,,1
,,,-77,-94,-81,,-80,-86,-96,-84,-93,-97,,-84,,-89,-98,-79,1
-93,,,,-97,-85,,-81,-88,-92,,,-97,-94,-76,,-91,,,2
-88,-78,-84,-75,-82,,,,-84,-76,-82,-88,-92,-88,-77,-76,-78,,,1
-87,-75,-92,,-93,,-87,-73,-85,-84,-71,,-85,-86,,-82,-81,-85,,2
-87,,-93,-76,,,-76,-72,-83,-83,-75,-96,-82,-90,-75,-78,-83,-88,,2
,,,,,,,,,,,,,,,,,-99,,3
-86,-75,-84,-75,-84,,-89,,-88,-78,-81,-90,-93,-90,-78,-78,-78,,,1
-101,-87,-97,-90,-92,-91,-81,,-99,,-93,-92,-97,,-96,-95,-100,,,0
-86,,-90,-74,,,-77,-70,-83,-79,-73,-91,-86,-88,-81,-76,-80,,,2
-89,-82,,-90,-93,-85,-88,-85,,-90,-73,,,,-75,,-75,,-79,3
-89,-85,,-89,-95,-81,-80,,,-89,-74,-94,-85,,-69,-78,-90,,-76,3
